,HSC,MPP,CMP,CLP,GMP,MEP
receiving COMPLEMENT,0.389917666364871,0.37930766183793574,0.33421514259846086,0.3846126641014034,0.3633926550475328,0.3633926550475328
sending PDGF,0.3289101403349932,0.23155273879583524,0.24470914440923497,0.242077863286555,0.22629017655047534,0.24997170665459487
receiving PDGF,0.6137392485287461,0.6640023766410139,0.7962737664101402,0.6481298098687188,0.6560660932548664,0.759237777274785
sending NPFF,0.19105081484834766,0.19105081484834766,0.19105081484834766,0.19105081484834766,0.19105081484834766,0.19105081484834766
receiving NPFF,0.1877970801267542,0.18588727931190585,0.20625848800362154,0.1877970801267542,0.19161668175645089,0.19161668175645089
sending TAC,0.5187301946582163,0.4708861475780896,0.5539837030330467,0.6320450430058849,0.41800588501584424,0.6446355817111815
receiving TAC,0.6126358080579447,0.5685052625622454,0.5685052625622454,0.5685052625622454,0.5685052625622454,0.5685052625622454
sending IL16,0.4681982797645993,0.4681982797645993,0.4990946129470348,0.5846536894522408,0.4777048438207333,0.3968990493435944
receiving IL16,0.26242077863286556,0.25004244001810777,0.2574694431869624,0.559500905387053,0.25251810774105926,0.2401397691263015
sending CSPG4,0.40691489361702127,0.40691489361702127,0.40691489361702127,0.40691489361702127,0.40691489361702127,0.40691489361702127
receiving CSPG4,0.11941206428248076,0.12460389316432774,0.12460389316432774,0.09604883431416932,0.13498755092802173,0.12979572204617473
sending MK,0.3829787234042553,0.19946808510638298,0.19946808510638298,0.22074468085106383,0.18882978723404256,0.18882978723404256
receiving MK,0.981425418741512,0.981425418741512,0.9946879244001812,0.9946879244001812,0.9840779198732458,0.9946879244001812
sending PARs,0.9788082842915345,0.9946808510638298,0.9814537120869171,0.9788082842915345,0.9946808510638298,0.9047363060208238
